,CompanyID,adopter,early_adopter
1,11556058,0.0,False
2,11556197,0.0,False
3,11556328,0.0,False
4,11556544,0.0,False
5,11556551,0.23076923076923078,False
6,11556605,0.3333333333333333,False
7,11557372,0.0,False
8,11557865,0.0,False
9,11558090,0.0,False
10,11558270,0.0,False
11,11558360,0.6,True
12,11558425,0.0,False
13,11558482,0.0,False
14,11558858,0.0,False
15,11558864,0.0,False
16,11558867,0.0,False
17,11558937,1.0,True
18,11558980,1.0,True
19,11559008,0.2,False
20,11559053,0.0,False
21,11559057,0.25,False
22,11559075,0.0,False
23,11559078,0.5,True
24,11559304,0.0,False
25,11559308,0.0,False
26,11559356,0.3333333333333333,False
27,11559386,0.5,True
28,11559409,0.0,False
29,11559427,0.10526315789473684,False
30,11559435,0.0,False
31,11559472,1.0,True
32,11559521,0.4666666666666667,True
33,11559616,0.6,True
34,11559658,0.5,True
35,11559697,0.0,False
36,11559709,0.4444444444444444,True
37,11559726,1.0,True
38,11559740,0.07692307692307693,False
39,11559779,0.2,False
40,11559814,0.0,False
41,11559875,0.3333333333333333,False
42,11559909,0.0,False
43,11559916,0.0,False
44,11559922,0.0,False
45,11559948,0.0,False
46,11559978,0.0,False
47,11559983,0.5,True
48,11560029,0.0,False
49,11560063,0.2222222222222222,False
50,11560071,1.0,True
51,11560081,0.35714285714285715,False
52,11560220,0.0,False
53,11560250,0.25,False
54,11560254,0.0,False
55,11560267,0.13333333333333333,False
56,11560273,0.25806451612903225,False
57,11560276,0.0,False
58,11560332,0.5,True
59,11560356,0.3333333333333333,False
60,11560364,0.0,False
61,11560554,0.6666666666666666,True
62,11560557,0.6666666666666666,True
63,11560561,0.0,False
64,11560618,0.0,False
65,11560646,0.3333333333333333,False
66,11560706,0.3,False
67,11560751,0.0,False
68,11560754,0.05263157894736842,False
69,11560770,0.0,False
70,11560773,0.0,False
71,11560778,0.0,False
72,11560797,0.0,False
73,11560804,0.0,False
74,11560820,0.0,False
75,11560828,0.0,False
76,11560852,0.0,False
77,11560873,0.0,False
78,11560891,0.0,False
79,11560911,1.0,True
80,11561021,0.0,False
81,11561029,0.0,False
82,11561063,0.3333333333333333,False
83,11561076,0.1111111111111111,False
84,11561086,0.0,False
85,11561099,0.75,True
86,11561166,0.125,False
87,11561188,0.0,False
88,11561218,1.0,True
89,11561221,0.3333333333333333,False
90,11561241,0.0,False
91,11561244,0.0,False
92,11561250,0.0,False
93,11561257,0.07692307692307693,False
94,11561297,0.0,False
95,11561315,1.0,True
96,11561425,0.0,False
97,11561470,0.0,False
98,11561477,0.045454545454545456,False
99,11561481,0.0,False
100,11561607,0.0,False
101,11561658,0.625,True
102,11561672,0.0,False
103,11561721,0.0,False
104,11561767,0.0,False
105,11561792,0.0,False
106,11561808,0.0,False
107,11561940,1.0,True
108,11561968,0.6666666666666666,True
109,11561971,0.0,False
110,11562045,0.0,False
111,11562095,0.16666666666666666,False
112,11562352,0.0,False
113,11562386,0.0,False
114,11562422,0.0,False
115,11562428,0.0,False
116,11562538,0.6666666666666666,True
117,11562579,1.0,True
118,11562595,0.25,False
119,11562600,0.0,False
120,11562626,0.0,False
121,11562656,1.0,True
122,11562786,0.0,False
123,11562808,0.0,False
124,11563006,0.25,False
125,11563116,1.0,True
126,11563215,0.0,False
127,11563234,0.13333333333333333,False
128,11563254,0.6666666666666666,True
129,11563260,0.5,True
130,11563294,0.0,False
131,11563321,1.0,True
132,11563347,0.0,False
133,11563369,0.125,False
134,11563495,0.0,False
135,11563598,0.0,False
136,11563616,0.1,False
137,11563629,0.2857142857142857,False
138,11563676,0.5,True
139,11563730,1.0,True
140,11563749,0.8,True
141,11563771,0.6666666666666666,True
142,11563870,0.14285714285714285,False
143,11563873,0.6666666666666666,True
144,11563943,0.0,False
145,11564065,0.0,False
146,11564170,0.32,False
147,11564194,0.42857142857142855,True
148,11564244,0.0,False
149,11564359,0.6666666666666666,True
150,11564404,0.21428571428571427,False
151,11564437,0.16666666666666666,False
152,11564488,0.5,True
153,11564608,0.3333333333333333,False
154,11564633,0.6666666666666666,True
155,11564647,0.0,False
156,11564662,0.0,False
157,11564668,0.0,False
158,11564693,0.0,False
159,11564705,0.1111111111111111,False
160,11564714,1.0,True
161,11564752,0.0,False
162,11564871,1.0,True
163,11565064,0.0,False
